Model,Precision,Recall,F1,AUC
Baseline (C=1.0),0.889763779527559,0.9262295081967213,0.9076305220883534,0.9591848192229957
Regularized (C=0.01),0.875968992248062,0.9262295081967213,0.900398406374502,0.9562654390298676
