Model,CV Mean AUC,CV Std,Test AUC
Logistic Regression,0.9431785874675782,0.007116715658975275,0.9591848192229957
Decision Tree,0.9369901046965268,0.016315459084087977,0.9493599820345833
Random Forest,0.9496801363773841,0.006293031627229839,0.9600830900516505
Gradient Boosting,0.9503087967078793,0.0085529041176682,0.9662867729620481
